Sample	GlobalMeth_HPLC_MS_rep1	GlobalMeth_HPLC_MS_rep2	GlobalMeth_HPLC_MS_rep3	GlobalMeth_HPLC_MS_mean	GlobalMeth_HPLC_MS_sd	GlobalMeth_Immunoquant_OD	GlobalMeth_Immunoquant_mean	GlobalMeth_Pyroseq_LINE1_all	GlobalMeth_Pyroseq_LINE1_first2	GlobalMeth_Pyroseq_AluYb8_all	GlobalMeth_Pyroseq_AluYb8_last3	GlobalMeth_Pyroseq_D4Z4_all	GlobalMeth_Pyroseq_D4Z4_first3	GlobalMeth_Pyroseq_NBL2_all	GlobalMeth_Pyroseq_NBL2_first4
1N	7.58	7.456	7.506	7.514	0.062385896	0.668	11.85413992	65.276	66.375	87.474	87.64333333	74.50833333	74.27666667	82.63	85.4925
1T	3.962	4.025	4.257	4.081333333	0.155358725	0.613666667	10.76433462	62.22	63.67	86.12	87.58333333	78.255	76.45	81.17142857	84.1025
2N	6.498	6.398	6.352	6.416	0.07464583	0.521333333	8.912334189	63.71	63.135	87.99	88.59666667	68.70666667	67.67	79.75142857	84.1125
2T	3.235	3.348	3.159	3.247333333	0.0951017	0.618	10.8512516	58.008	57.62	87.636	87.63	69.585	68.68666667	80.04	83.66
3N	6.412	6.336	6.403	6.383666667	0.041525093	0.575	9.988767651	64.16	65.615	88.708	89.36	64.92166667	65.00666667	82.59	85.675
3T	3.785	3.789	3.7	3.758	0.050269275	0.668333333	11.86082585	60.286	59.955	88.136	88.46666667	62.23666667	62.35	80.23714286	82.9375
4N	6.253	6.323	6.284	6.286666667	0.035076108	0.646666667	11.42624091	66.444	67.89	88.792	88.96333333	80.06333333	79.27333333	82.65857143	84.955
4T	4.856	4.855	4.842	4.851	0.00781025	0.61	10.69078947	58.254	59.25	89.03	89.15666667	79.96	79.73666667	80.05	82.5125
5N	6.612	6.712	6.689	6.671	0.052373658	0.693333333	12.36227	66.5	67.315	89.534	90.12	76.51166667	75.54	77.89714286	79.135
5T	4.885	4.92	4.931	4.912	0.024020824	0.684666667	12.18843603	63.36	63.935	88.51	88.79	73.50666667	72.23666667	76.73857143	77.8925
6N	7.201	7.305	7.301	7.269	0.058923679	0.638	11.25240693	66.21	67.55	88.708	89.23333333	72.56833333	72.05666667	82.15857143	85.1175
6T	5.624	5.751	5.689	5.688	0.063505905	0.607	10.63061617	62.634	62.87	87.354	87.48333333	75.36666667	75.33666667	81.10428571	83.7275
B14129	3.812	3.912	3.865	3.863	0.050029991	0.946	17.43019897	71.648	71.365	88.66	88.53666667	65.44333333	64.56666667	82.05	84.585
B33773	4.322	4.235	4.297	4.284666667	0.044792112	0.693666667	12.36895593	65.438	66.18	89.156	89.29666667	70.93666667	69.67	85.62714286	91.535
B39141	9.47	9.512	9.326	9.436	0.097549987	0.714333333	16.71843441	70.252	72.53	89.422	89.81	62.14833333	62.11	80.14714286	82.8725
B77007	3.562	3.642	3.742	3.648666667	0.090184995	0.905	16.60783055	73.726	74.895	90.85	92.35333333	62.25166667	62.18333333	80.09571429	83.2625
B83366	3.571	3.621	3.621	3.604333333	0.028867513	0.693333333	16.18378397	70.952	73.06	91.106	92.64	61.61	61.32666667	77.77571429	80.4325
B96050	4.042	4.125	4.085	4.084	0.041509035	0.622333333	14.37615629	70.142	72.62	90.874	92.39333333	63.63	63.87666667	80.15142857	83.475
HCT116	5.962	6.012	5.921	5.965	0.045574115	0.415666667	9.114517032	67.546	69.3	90.482	91.82666667	75.09833333	73.63333333	85.40857143	91.395
HCT116P	5.774	5.884	5.766	5.808	0.065939366	0.482333333	10.81182002	71.4	71.82	86.838	86.8	71.82333333	70.64666667	86.86714286	92.755
HCT15	3.423	3.512	3.487	3.474	0.04590207	0.373666667	8.045216152	53.294	52.235	83.814	84.49	69.79166667	71.01	75.9	79.0575
HCT15P	3.334	3.415	3.402	3.383666667	0.043500958	0.438666667	9.700086562	59.754	57.405	88.25	90.03333333	69.59	70.45666667	75.99	78.945
IVM_1	2.842	2.952	3.025	2.939666667	0.092121297	0.373666667	5.950470689	8.976	11.67	15.082	15.15	21.55166667	21.70333333	6.741428571	6.49
IVM_2	2.965	3.025	3.125	3.038333333	0.080829038	0.376666667	6.010643988	6.206	7.295	8.168	8.283333333	19.50833333	18.83333333	5.848571429	6.55
IVM_3	2.926	3.025	3.12	3.023666667	0.097006873	0.309666667	4.666773641	7.022	8.485	8.406	8.62	15.5	15.26666667	9.957142857	9.695
IVM_4	3.015	3.147	3.102	3.088	0.067104396	0.325333333	4.981011981	7.994	10.17	10.484	11.60333333	19.645	20.23333333	10.98571429	9.48
IVM_5	3.254	3.345	3.365	3.321333333	0.059163615	0.416666667	6.812954643	8.59	11.86	11.944	13.45666667	24.07666667	24.84	12.34714286	10.3
IVM_6	3.37	3.45	3.436	3.418666667	0.04272392	0.395	6.378369705	10.386	14.5	13.224	15.40333333	23.16833333	24.57666667	15.10571429	12.7325
KG1 K1	4.5325	4.625	4.518	4.5585	0.0649598	0.604333333	10.5771288	67.764	67.6	89.546	89.46333333	76.34	75.25333333	83.56142857	88.2475
KG1 T1	3.7785	3.815	3.8165	3.803333333	0.02493692	0.600666667	10.50358365	52.204	50.67	73.084	76.12	58.39666667	57.66333333	67.48285714	71.525
KG1a K1	4.3915	4.4765	4.458	4.442	0.045259118	0.647666667	11.44629867	70.312	70.785	89.762	89.99333333	83.24833333	82.71666667	84.30857143	89.38
KG1a T1	3.4	3.385	3.414	3.399666667	0.052787001	0.581333333	10.11580017	42.216	42.69	74.314	76.58333333	44.745	44.37333333	48.54714286	51.5375
