order	locus_identifier	comment	assay_design_summary	13_T01	14_T01	15_T01	16_T01	20_T01	38_T01	38_T02	38_T03	38_T04	38_T05	38_T06	39_T01	40_T01	40_T02	41_T01	41_T02	41_T03	41_T04	41_T05	41_T06	43_T01	44_T01	44_T02	44_T03	45_T01	48_T01	49_T01	51_T01	52_T01	53_T01	54_T01	55_T01	55_T02	63_T01	64_T01	65_T01	65_T02	66_T01	67_T01	68_T01	69_T01	71_T01	72_T01	73_T01	74_T01	75_T01	76_T01	77_T01	79_T01	81_T01	82_T01	83_T01	84_T01	85_T01	86_T01	87_T01	88_T01	89_T01	90_T01	91_T01	92_T01	93_T01	94_T01	95_T01	96_T01	97_T01	98_T01	100_T01	101_T01	102_T01	103_T01	104_T01	105_T01	106_T01	107_T01	108_T01	109_T01	110_T01	111_T01	112_T01	113_T01	114_T01	115_T01	116_T01	117_T01	118_T01	119_T01	122_T01	124_T01	125_T01	126_T01	128_T01	129_T01	130_T01	131_T01	132_T01	134_T01	136_T01	137_T01	138_T01	139_T01	140_T01	141_T01	142_T01	143_T01	144_T01	145_T01	146_T01	147_T01	148_T01	149_T01	151_T01	153_T01	154_T01	155_T01	156_T01	157_T01	159_T01	160_T01	161_T01	162_T01	163_T01	163_T02	164_T01	165_T01	166_T01	167_T01	168_T01	170_T01	169_T01	171_T01	172_T01	173_T01	174_T01	175_T01	176_T01	177_T01	178_T01	179_T01	180_T01	181_T01	182_T01	183_T01	184_T01	185_T01	186_T01	187_T01	188_T01	189_T01	190_T01	191_T01	192_T01	193_T01	194_T01	195_T01	196_T01	197_T01	198_T01	199_T01	200_T01	001_N01	001_N02	001_N03	001_N04	001_N05	001_N06	001_N07	001_N08
1	mandatory_1																																																																																																																																																																										
2	mandatory_2																																																																																																																																																																										
3	mandatory_3			0.4	0.79	0.56	0.62	0.63	0.71	0.57	0.23	0.76	0.68	0.67	0.58	0.66	0.49	0.5	0.55	0.37	0.44	0.41	0.41	0.62	0.55	0.35	0.54	0.5	0.62	0.62	0.54	0.67	0.54	0.6	0.42	0.7	0.44	0.37	0.48	0.56	0.64	0.32	0.52	0.39	0.58	0.74	0.59	0.69	0.65	0.59	0.79	0.73	0.48	0.63	0.42	0.53	0.5	0.64	0.46	0.44	0.68	0.43	0.69	0.61	0.61	0.55	0.45	0.53	0.4	0.61	0.41	0.62	0.58	0.52	0.42	0.79	0.66	0.58	0.63	0.63	0.61	0.7	0.67	0.55	0.34	0.42	0.56	0.67	0.67	0.5	0.47	0.57	0.49	0.2	0.57	0.49	0.52	0.41	0.56	0.71	0.73	0.49	0.71	0.42	0.67	0.63	0.43	0.72	0.5	0.59	0.62	0.56	0.45	0.43	0.43	0.41	0.58	0.61	0.38	0.63	0.62	0.6	0.76	0.59	0.69	0.65	0.64	0.63	0.61	0.37	0.41	0.5	0.63	0.66	0.76	0.69	0.62	0.67	0.27	0.26	0.65	0.52	0.67	0.74	0.68	0.47	0.74	0.64	0.7	0.59	0.51	0.67	0.48	0.49	0.44	0.69	0.59	0.47	0.53	0.63	0.2	0.56	0.66	failed	0.44	0.49	0.42	0.64	0.32	0.51	0.52
4	mandatory_4																																																																																																																																																																										
5	mandatory_5																																																																																																																																																																										
6	mandatory_6																																																																																																																																																																										
7	mandatory_7																																																																																																																																																																										
8	mandatory_8																																																																																																																																																																										
9	mandatory_9			0.91	0.91	0.83	0.93	0.9	0.94	0.93	0.95	0.91	0.9	0.89	0.91	0.87	0.88	0.88	0.84	0.85	0.83	0.9	0.8	0.93	0.94	0.93	0.95	0.89	0.91	0.9	0.88	0.9	0.88	0.91	0.92	0.93	0.79	0.92	0.88	0.88	0.95	0.87	0.92	0.9	0.87	0.94	0.8	0.92	0.84	0.9	0.92	0.9	0.86	0.84	0.9	0.82	0.9	0.93	0.79	0.82	0.92	0.8	0.9	0.84	0.9	0.92	0.86	0.87	0.88	0.93	0.92	0.89	0.9	0.89	0.82	0.96	0.82	0.88	0.85	0.92	0.87	0.89	0.81	0.87	0.91	0.9	0.85	0.88	failed	0.91	0.77	0.89	0.64	0.89	0.86	0.84	0.88	0.85	0.87	0.92	0.88	0.9	0.91	0.84	0.89	0.94	0.81	0.87	0.92	0.87	0.86	0.84	0.87	0.89	0.89	0.86	0.86	0.91	failed	0.9	0.87	0.88	0.87	0.87	0.93	0.87	0.86	0.9	0.88	0.9	0.89	0.87	0.93	0.92	0.88	0.93	0.92	0.93	0.75	0.83	0.88	0.9	0.91	0.89	0.89	0.85	0.91	0.88	0.92	0.92	0.91	0.89	0.87	0.81	0.92	0.85	0.89	0.86	0.85	0.89	0.86	0.9	0.87	0.86	0.9	0.92	0.84	0.89	0.88	0.84	0.9
10	mandatory_10																																																																																																																																																																										
11	mandatory_11																																																																																																																																																																										
12	mandatory_12																																																																																																																																																																										
13	mandatory_13			0.57	0.71	0.7	0.59	0.48	0.65	0.63	0.3	0.65	0.56	0.52	0.63	0.5	0.55	0.71	0.78	0.66	0.72	0.72	0.66	0.72	0.45	0.75	0.8	0.63	0.53	0.66	0.47	0.38	0.5	0.52	0.46	0.58	0.59	0.55	0.42	0.64	0.65	0.77	0.6	0.55	0.76	0.62	0.7	0.57	0.47	0.56	0.7	0.57	0.58	0.64	0.6	0.66	0.51	0.54	0.59	0.56	0.32	0.69	0.53	0.68	0.69	0.44	0.54	0.35	0.56	0.64	0.76	0.51	0.5	0.5	0.5	0.65	0.57	0.41	0.5	0.54	0.71	0.65	0.64	0.58	0.58	0.65	0.52	0.61	0.66	0.59	0.45	0.59	0.72	0.54	0.66	0.66	0.61	0.54	0.51	0.61	0.6	0.52	0.7	0.42	0.62	0.73	0.56	0.6	0.29	0.42	0.75	0.47	0.49	0.52	0.55	0.54	0.46	0.54	0.52	0.62	0.64	0.62	0.68	0.62	0.45	0.46	0.72	0.63	0.6	0.6	0.67	0.57	0.47	0.6	0.61	0.56	0.44	0.7	0.5	0.6	0.59	0.54	0.55	0.75	0.61	0.48	0.62	0.43	0.75	0.5	0.63	0.71	0.57	0.58	0.8	0.65	0.49	0.53	0.56	0.61	0.51	0.5	0.57	0.38	0.37	0.27	0.37	0.24	0.31	0.3	0.45
14	mandatory_14																																																																																																																																																																										
15	mandatory_15	poor standard performance		0	failed	0	failed	failed	failed	0.04	failed	0.17	0.11	0.05	0	0.08	0.06	0	0.03	failed	0	0.01	0.01	0.03	0	0	0	0.02	0.05	0.21	0	failed	0.17	0	0	0.25	0	0.01	0.04	0.27	0.13	0	0.01	0.08	0	0	0.04	0.1	0.03	0.1	0.35	0.14	0.01	0.05	0.01	0	0.03	0.13	0	0	failed	0.01	0	0.02	0.28	0.01	0	0.12	0.26	0.16	0.02	0.17	0.1	0.06	0.17	0.01	0.07	0.08	0.11	0	0	0.14	0.03	0.2	0.01	0.07	0.14	0.16	0	failed	0.24	0.12	0.07	0.03	0	0.09	0.13	0	0.03	0.1	0	0.07	0.08	0	0.1	0.22	0.07	0.07	0	0.04	0.13	0.07	0.01	0.06	0.08	0.01	0.04	0.03	failed	0.05	0.04	0	0.01	0.04	0.15	0.08	0.16	0.15	failed	0.1	0.06	0.09	0.08	0.28	0.29	0.17	0.18	0.4	failed	0.08	0.01	0	0.2	0.02	failed	0.11	0.05	0.1	0	0.21	0	0.17	0.09	0.08	0.58	0.29	0.03	0	0.01	0.12	0.04	0.06	0.2	0.01	0	0	0.03	0.01	0	0	0.07
16	mandatory_16			0.01	0.01	0.01	0	0.01	0.03	0.01	0.02	0.05	0.03	0.02	0.09	0.02	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0	0.01	0.02	0.02	0.02	0.01	0	0.02	0.02	0.02	0.03	0.1	0.02	0.05	0.01	0.02	0.01	0.11	0.15	0.07	0.03	0	0.02	0.08	0.01	0.02	0.09	0.06	0.08	0.06	0.05	0.07	0.01	0.04	0.04	0.02	0.02	0.01	0.08	0.1	0.02	0.02	0.03	0.02	0.04	0.19	0.02	0.12	0.01	0	0.02	failed	failed	failed	failed	0	failed	0.02	0.05	0.01	0.01	0.07	0.36	0	0.02	0.01	0.06	0.01	0.07	0.21	0.01	0.01	0.03	0.01	0.04	0.07	0.02	0.1	0.02	0.03	0.01	0.08	0.01	0.02	0.12	0.02	0.01	0.05	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.04	0.01	0.02	0.02	0.01	0.08	0.1	0.03	0.05	0.04	0	0.13	0.02	0.05	0.05	0.01	0.04	0.01	0.06	0.03	0.02	0.01	0.09	0.35	0.02	0.02	0.14	0.02	0.01	0.02	0.01	0.09	0.09	0.01	0.2	0.08	0.01	0.02	0.13	0.01	0.07	0.05	0.2	0.02	0.02	0.02	0.02	0	0.02	0.01	0.02
17	recommended_1																																																																																																																																																																										
18	recommended_2																																																																																																																																																																										
19	recommended_3																																																																																																																																																																										
20	recommended_4																																																																																																																																																																										
21	recommended_5																																																																																																																																																																										
22	recommended_6																																																																																																																																																																										
