order	locus_identifier	assay_design_status	assay_design_summary	13_T01	14_T01	15_T01	16_T01	20_T01	38_T01	38_T02	38_T03	38_T04	38_T05	38_T06	39_T01	40_T01	40_T02	41_T01	41_T02	41_T03	41_T04	41_T05	41_T06	43_T01	44_T01	44_T02	44_T03	45_T01	48_T01	49_T01	51_T01	52_T01	53_T01	54_T01	55_T01	55_T02	63_T01	64_T01	65_T01	65_T02	66_T01	67_T01	68_T01	69_T01	71_T01	72_T01	73_T01	74_T01	75_T01	76_T01	77_T01	79_T01	81_T01	82_T01	83_T01	84_T01	85_T01	86_T01	87_T01	88_T01	89_T01	90_T01	91_T01	92_T01	93_T01	94_T01	95_T01	96_T01	97_T01	98_T01	100_T01	101_T01	102_T01	103_T01	104_T01	105_T01	106_T01	107_T01	108_T01	109_T01	110_T01	111_T01	112_T01	113_T01	114_T01	115_T01	116_T01	117_T01	118_T01	119_T01	122_T01	124_T01	125_T01	126_T01	128_T01	129_T01	130_T01	131_T01	132_T01	134_T01	136_T01	137_T01	138_T01	139_T01	140_T01	141_T01	142_T01	143_T01	144_T01	145_T01	146_T01	147_T01	148_T01	149_T01	151_T01	153_T01	154_T01	155_T01	156_T01	157_T01	159_T01	160_T01	161_T01	162_T01	163_T01	163_T02	164_T01	165_T01	166_T01	167_T01	168_T01	170_T01	169_T01	171_T01	172_T01	173_T01	174_T01	175_T01	176_T01	177_T01	178_T01	179_T01	180_T01	181_T01	182_T01	183_T01	184_T01	185_T01	186_T01	187_T01	188_T01	189_T01	190_T01	191_T01	192_T01	193_T01	194_T01	195_T01	196_T01	197_T01	198_T01	199_T01	200_T01	001_N01	001_N02	001_N03	001_N04	001_N05	001_N06	001_N07	001_N08
1	mandatory_1	not started																																																																																																																																																																									
2	mandatory_2	not started																																																																																																																																																																									
3	mandatory_3	not started		0.389	0.665	0.551	0.580	0.594	0.645	0.602	0.552	0.698	0.588	0.624	0.519	0.603	0.474	0.511	0.528	0.410	0.457	0.472	0.441	0.529	0.483	0.377	0.438	0.466	0.607	0.592	0.524	0.582	0.507	0.531	0.429	0.580	0.451	0.373	0.469	0.501	0.603	0.339	0.553	0.420	0.562	0.634	0.577	0.627	0.529	0.573	0.732	0.660	0.470	0.646	0.469	0.509	0.503	0.616	0.469	0.432	0.635	0.424	0.629	0.628	0.630	0.527	0.458	0.523	0.390	0.588	0.352	0.535	0.485	0.490	0.455	0.545	0.574	0.506	0.611	0.554	0.563	0.618	0.606	0.493	0.371	0.386	0.498	0.590	0.614	0.450	0.417	0.510	0.414	0.230	0.502	0.431	0.460	0.362	0.519	0.558	0.592	0.435	0.604	0.577	0.593	0.630	0.420	0.577	0.559	0.530	0.516	0.530	0.406	0.394	0.411	0.417	0.563	0.542	0.375	0.544	0.590	0.569	0.709	0.518	0.639	0.525	0.577	0.590	0.585	0.389	0.430	0.527	0.433	0.611	0.693	0.605	0.614	0.628	0.300	0.289	0.623	0.442	0.622	0.667	0.610	0.435	0.639	0.558	0.622	0.551	0.501	0.608	0.456	0.421	0.439	0.608	0.552	0.476	0.472	0.609	0.271	0.528	0.389	0.498	0.461	0.484	0.407	0.552	0.373	0.525	0.503
4	mandatory_4	not started																																																																																																																																																																									
5	mandatory_5	not started																																																																																																																																																																									
6	mandatory_6	not started																																																																																																																																																																									
7	mandatory_7	not started																																																																																																																																																																									
8	mandatory_8	not started																																																																																																																																																																									
9	mandatory_9	not started		0.685	0.757	0.611	0.593	0.610	0.636	0.623	0.602	0.646	0.605	0.496	0.561	0.698	0.758	0.457	0.436	0.446	0.577	0.471	0.631	0.728	0.651	0.915	0.943	0.586	0.673	0.633	0.520	0.556	0.750	0.659	0.658	0.619	0.671	0.634	0.633	0.669	0.644	0.706	0.617	0.691	0.859	0.668	0.560	0.707	0.532	0.673	0.600	0.657	0.641	0.726	0.611	0.623	0.666	0.691	0.497	0.585	0.642	0.495	0.578	0.490	0.789	0.614	0.729	0.632	0.559	0.536	0.524	0.500	0.632	0.652	0.657	0.558	0.608	0.602	0.563	0.527	0.529	0.609	0.630	0.659	0.658	0.732	0.560	0.671	0.499	0.551	0.606	0.641	0.457	0.544	0.484	0.457	0.625	0.525	0.486	0.690	0.570	0.637	0.632	0.398	0.653	0.722	0.535	0.525	0.582	0.530	0.589	0.594	0.599	0.633	0.653	0.599	0.690	0.642	0.644	0.678	0.537	0.516	0.789	0.686	0.653	0.569	0.640	0.632	0.686	0.514	0.696	0.626	0.455	0.614	0.672	0.564	0.664	0.662	0.421	0.659	0.547	0.582	0.676	0.565	0.638	0.538	0.665	0.567	0.466	0.640	0.682	0.717	0.483	0.583	0.379	0.637	0.680	0.665	0.536	0.626	0.539	0.657	0.480	0.661	0.701	0.634	0.563	0.621	0.636	0.692	0.694
10	mandatory_10	not started																																																																																																																																																																									
