Dataset	Sample	Measurement taken	Measured concentration	Measured volume	Actual stock volume	Measured mass	Measured volume per sample	Volume proportion of input	Fixed by (input)	Fixed to value (input)
AmpliconBS_1	1T	Qubit dsBR	37.2	20	20	744		1	ALL/PROPORTIONAL	
AmpliconBS_1	1N	Qubit dsBR	42.4	20	20	848		1	ALL/PROPORTIONAL	
AmpliconBS_1	2T	Qubit dsBR	51.4	17	20	873.8		1	ALL/PROPORTIONAL	
AmpliconBS_1	2N	Qubit dsBR	41.7	20	20	834		1	ALL/PROPORTIONAL	
AmpliconBS_1	3T	Qubit dsBR	58.5	15	20	877.5		1	ALL/PROPORTIONAL	
AmpliconBS_1	3N	Qubit dsBR	46	20	20	920		1	ALL/PROPORTIONAL	
AmpliconBS_1	4T	Qubit dsBR	86.9	17	20	1477.3		1	ALL/PROPORTIONAL	
AmpliconBS_1	4N	Qubit dsBR	31.8	20	20	636		1	ALL/PROPORTIONAL	
AmpliconBS_1	5T	Qubit dsBR	46.2	20	20	924		1	ALL/PROPORTIONAL	
AmpliconBS_1	5N	Qubit dsBR	49.7	20	20	994		1	ALL/PROPORTIONAL	
AmpliconBS_1	6T	Qubit dsBR	46.6	20	20	932		1	ALL/PROPORTIONAL	
AmpliconBS_1	6N	Qubit dsBR	55.1	17	20	936.7		1	ALL/PROPORTIONAL	
EpiTyper_1	1T	Qubit dsBR	37.2	20	20	744		1	ALL/PROPORTIONAL	
EpiTyper_1	1N	Qubit dsBR	42.4	20	20	848		1	ALL/PROPORTIONAL	
EpiTyper_1	2T	Qubit dsBR	51.4	17	20	873.8		1	ALL/PROPORTIONAL	
EpiTyper_1	2N	Qubit dsBR	41.7	20	20	834		1	ALL/PROPORTIONAL	
EpiTyper_1	3T	Qubit dsBR	58.5	15	20	877.5		1	ALL/PROPORTIONAL	
EpiTyper_1	3N	Qubit dsBR	46	20	20	920		1	ALL/PROPORTIONAL	
EpiTyper_1	4T	Qubit dsBR	86.9	17	20	1477.3		1	ALL/PROPORTIONAL	
EpiTyper_1	4N	Qubit dsBR	31.8	20	20	636		1	ALL/PROPORTIONAL	
EpiTyper_1	5T	Qubit dsBR	46.2	20	20	924		1	ALL/PROPORTIONAL	
EpiTyper_1	5N	Qubit dsBR	49.7	20	20	994		1	ALL/PROPORTIONAL	
EpiTyper_1	6T	Qubit dsBR	46.6	20	20	932		1	ALL/PROPORTIONAL	
EpiTyper_1	6N	Qubit dsBR	55.1	17	20	936.7		1	ALL/PROPORTIONAL	
AmpliconBS_2	1N	Picogreen (mean of 2)	56.1675		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	1T	Picogreen (mean of 2)	17.875		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	2N	Picogreen (mean of 2)	32.6565		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	2T	Picogreen (mean of 2)	51.7075		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	3N	Picogreen (mean of 2)	62.0825		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	3T	Picogreen (mean of 2)	47.376		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	4N	Picogreen (mean of 2)	25.042		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	4T	Picogreen (mean of 2)	125.4705		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	5N	Picogreen (mean of 2)	28.653		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	5T	Picogreen (mean of 2)	38.3215		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	6N	Picogreen (mean of 2)	79.5295		20			1	ALL/PROPORTIONAL	
AmpliconBS_2	6T	Picogreen (mean of 2)	43.2925		20			1	ALL/PROPORTIONAL	
AmpliconBS 3	1N	TapeStation	29.346		20			1	ALL/PROPORTIONAL	
AmpliconBS 3	1T	TapeStation	20.033		20			1	ALL/PROPORTIONAL	
AmpliconBS 3	2N	TapeStation	28.274		20			1	ALL/PROPORTIONAL	
